time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19
0;0;0.0;0.0;2.6;841244;1634876;15;1.6;18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.0;2.6;849404;1831484;15;1.6;19;8.0;0.0;9.0;2.0;9.0;1.00;2.0;0.0;7.0;0.0;2.0;0.0;1.00;8.0;1.00;0.0;1.00;0.0;0.0;0.0
2;0;0.0;0.0;2.6;849404;1831484;15;2.0;19;7.0;3.0;12;2.0;13;0.0;3.0;0.0;10;0.0;2.0;0.0;1.00;10;0.0;0.0;0.0;0.0;0.0;0.0
3;0;0.0;0.0;2.6;849404;1831484;15;2.0;19;6.9;2.9;12;1.9;13;0.90;0.90;0.0;8.9;0.0;1.9;0.0;0.0;9.9;0.0;0.90;0.90;0.90;0.90;0.90
4;0;0.0;0.0;2.6;849404;1831484;15;2.1;19;7.9;2.9;12;1.9;12;0.0;2.9;0.0;9.9;0.0;1.9;0.90;0.90;9.9;0.0;0.0;0.90;0.0;0.0;0.0
5;1;277439.656250;201120.687500;2.9;933244;1968220;15;2.2;19;10;0.0;12;2.0;15;0.0;4.0;0.0;11;0.0;4.0;0.0;0.0;10;1.00;1.00;1.00;0.0;0.0;0.0
6;1;272192.000000;314592.000000;2.9;933244;1968220;15;2.2;19;8.9;0.0;13;1.9;12;0.0;1.9;0.0;11;0.0;0.90;0.0;0.90;9.9;0.0;0.90;0.90;0.90;0.90;0.90
7;1;0.0;0.0;2.9;933244;1968220;15;2.1;19;9.0;0.0;12;2.0;13;0.0;4.0;1.00;10;0.0;3.0;0.0;1.00;10;0.0;1.00;1.00;2.0;0.0;0.0
8;1;2624.000000;16928.000000;2.9;933244;1968220;15;2.1;19;10;0.0;12;2.0;12;0.0;3.0;0.0;9.0;0.0;2.0;0.0;0.0;10;0.0;0.0;0.0;2.0;0.0;0.0
9;1;680;8528.000000;2.9;933244;1968220;15;2.1;19;8.9;0.0;13;1.9;12;0.90;1.9;0.0;9.9;0.0;2.9;0.0;0.0;9.9;0.0;1.9;0.90;0.0;0.90;0.0
10;1;67120.000000;38968.000000;2.9;935804;1970108;15;2.1;19;8.9;0.0;12;1.9;13;0.0;1.9;0.0;11;0.0;2.9;0.0;0.90;9.9;0.90;0.90;0.90;0.90;0.0;0.90
11;1;251024.000000;228800.000000;2.9;935804;1970108;15;2.2;19;11;1.00;13;2.0;17;0.0;6.0;0.0;13;1.00;5.0;0.0;2.0;12;1.00;1.00;2.0;1.00;1.00;0.0
12;1;9560.000000;31016.000000;2.9;935804;1970108;15;2.2;19;9.0;0.0;12;2.0;13;1.00;3.0;0.0;10;0.0;2.0;0.0;1.00;10;0.0;1.00;1.00;0.0;1.00;0.0
13;1;88;4264.000000;2.9;935804;1970108;15;2.1;19;8.9;0.0;13;1.9;13;0.0;2.9;0.0;9.9;0.0;2.9;0.90;0.0;9.9;1.9;0.0;0.0;0.90;0.90;0.90
14;1;2232.000000;8272.000000;2.9;935804;1970108;15;2.1;19;8.9;0.0;12;1.9;11;0.0;1.9;0.0;8.9;0.0;1.9;0.0;0.90;9.9;0.90;0.0;0.90;0.0;0.90;0.0
15;1;0.0;0.0;2.9;935804;1970108;15;2.1;19;8.9;0.0;12;1.9;13;0.0;2.9;0.0;9.9;0.0;1.9;0.0;0.0;9.9;0.90;0.0;0.90;0.0;0.0;0.0
16;1;0.0;0.0;2.9;935804;1970108;15;2.0;19;10;0.0;13;1.00;12;1.00;2.0;0.0;10;0.0;2.0;0.0;1.00;10;1.00;0.0;0.0;1.00;1.00;0.0
17;1;0.0;0.0;2.9;935804;1970108;15;2.1;19;9.0;0.0;12;2.0;13;0.0;4.0;0.0;10;0.0;2.0;0.0;0.0;10;2.0;1.00;1.00;0.0;1.00;1.00
18;1;0.0;0.0;2.9;935804;1970108;15;2.2;19;9.9;0.0;13;1.9;13;0.0;3.9;0.0;9.9;0.0;0.90;0.0;0.90;9.9;0.90;0.0;0.0;0.90;0.90;0.0
19;1;0.0;0.0;2.9;935804;1970108;15;2.1;19;9.0;0.0;12;2.0;12;0.0;3.0;0.0;9.0;0.0;2.0;0.0;0.0;10;1.00;0.0;0.0;0.0;0.0;0.0
20;1;30792.000000;87608.000000;2.9;933940;1968220;15;2.2;19;9.9;0.90;12;1.9;13;0.90;3.9;0.0;12;0.0;2.9;0.0;0.90;9.9;0.90;0.90;0.90;0.90;0.90;0.90
21;1;0.0;0.0;2.9;933940;1968220;15;2.1;19;9.9;0.0;13;1.9;13;0.0;2.9;0.90;9.9;0.0;1.9;0.0;0.90;9.9;0.0;0.0;0.90;0.0;0.90;0.0
22;1;0.0;0.0;2.9;933940;1968220;15;2.2;19;9.0;0.0;12;2.0;13;0.0;3.0;0.0;10;0.0;3.0;0.0;1.00;11;0.0;1.00;1.00;1.00;0.0;0.0
23;0;0.0;0.0;2.9;928276;1962556;15;2.2;19;2.9;6.9;12;1.9;13;0.0;2.9;0.0;9.9;0.0;1.9;0.0;0.0;9.9;0.0;0.0;0.0;0.0;0.0;0.0
24;0;0.0;0.0;2.9;928276;1962556;15;2.1;19;0.0;9.9;12;1.9;12;0.90;1.9;0.90;9.9;0.0;0.90;0.0;0.90;9.9;0.90;0.90;0.90;0.90;0.90;0.90
#eof
